lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L4C_L4AB,8,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,4.27,5.49,3,-20.338,0.0060,-2.2544,theta
L4C_L4AB,9,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,12.21,25.02,22,-127.694,0.0010,-2.1026,multi
L4C_L4AB,10,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,26.25,28.08,4,-16.302,0.0080,-1.5343,beta
L4C_L4AB,11,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,29.91,31.13,3,-10.877,0.0500,-1.2821,multi
L4C_L4AB,12,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,74.46,75.68,3,-11.352,0.0350,-1.0603,high_gamma
L4C_L4AB,13,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,78.12,79.35,3,-11.728,0.0320,-1.2048,high_gamma
L4C_L4AB,14,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,4.27,4.88,2,-11.704,0.0320,-1.6486,theta
L4C_L4AB,15,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,18.92,20.75,4,-18.245,0.0070,-1.2781,beta
L4C_L4AB,16,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,3.66,6.71,6,-30.683,0.0030,-1.6901,multi
L4C_L4AB,17,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,14.65,16.48,4,-17.136,0.0070,-1.6200,beta
L4C_L4AB,18,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,18.31,25.63,13,-54.217,0.0020,-1.5564,beta
L4C_L4AB,19,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,26.86,28.08,3,-13.387,0.0190,-1.7306,beta
L4C_L4AB,20,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,70.19,72.02,4,-16.174,0.0090,-1.4323,high_gamma
L4C_L4AB,21,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,75.07,78.12,6,-29.832,0.0030,-1.6728,high_gamma
L4C_L4AB,22,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,80.57,87.28,12,-49.597,0.0020,-1.5033,high_gamma
L4C_L4AB,23,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,88.50,92.16,7,-26.376,0.0030,-1.3910,high_gamma
L4C_L4AB,24,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,98.27,99.49,3,-14.352,0.0130,-1.7290,high_gamma
L4C_L4AB,25,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,18.31,21.36,6,-23.173,0.0050,-1.3816,beta
L4C_L4AB,26,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,22.58,25.63,6,-22.715,0.0050,-1.3863,beta
L4C_L4AB,27,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,26.86,28.08,3,-10.878,0.0500,-1.5025,beta
L4C_L4AB,28,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,70.80,72.02,3,-11.595,0.0320,-1.2183,high_gamma
L4C_L4AB,29,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,75.07,76.90,4,-16.778,0.0070,-1.3151,high_gamma
L4C_L4AB,30,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,81.18,83.62,5,-18.276,0.0070,-1.2524,high_gamma
L4C_L4AB,31,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,3.66,7.32,7,-44.940,0.0020,-1.5742,multi
L4C_L4AB,32,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,8.54,21.36,22,-107.522,0.0010,-1.6055,multi
L4C_L4AB,33,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,22.58,24.41,4,-17.108,0.0070,-1.5771,beta
L4C_L4AB,34,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,27.47,32.35,9,-34.179,0.0030,-1.3321,multi
L4C_L4AB,35,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,66.53,68.97,5,-20.058,0.0060,-1.3362,high_gamma
L4C_L4AB,36,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,70.80,72.63,4,-18.916,0.0070,-1.4056,high_gamma
L4C_L4AB,37,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,75.07,79.35,8,-31.192,0.0030,-1.4279,high_gamma
L4C_L4AB,38,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,80.57,86.06,10,-40.463,0.0020,-1.4111,high_gamma
L4C_L4AB,39,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,4.27,5.49,3,-19.992,0.0060,-1.9229,theta
L4C_L4AB,40,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,15.26,16.48,3,-13.025,0.0210,-1.7329,beta
L4C_L4AB,41,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,18.31,28.08,17,-70.908,0.0020,-1.4837,beta
L4C_L4AB,42,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,36.01,37.23,3,-13.457,0.0180,-1.4200,low_gamma
L4C_L4AB,43,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,38.45,39.67,3,-11.201,0.0380,-1.2784,low_gamma
L4C_L4AB,44,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,4.27,5.49,3,-20.579,0.0060,-1.9569,theta
L4C_L4AB,45,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,14.65,17.09,5,-20.052,0.0060,-1.2543,beta
L4C_L4AB,46,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,18.31,28.08,17,-73.271,0.0020,-1.5294,beta
L4C_L4AB,47,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,38.45,39.67,3,-11.189,0.0380,-1.2022,low_gamma
L4C_L4AB,48,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,4.27,6.10,4,-28.414,0.0030,-2.4240,theta
L4C_L4AB,49,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,9.16,10.38,3,-13.324,0.0190,-1.5064,alpha
L4C_L6,1,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,15.26,16.48,3,-9.705,0.0250,-1.1363,beta
L4C_L6,2,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,15.26,16.48,3,-10.009,0.0160,-1.1008,beta
L4C_L6,3,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,45.78,47.00,3,-9.598,0.0290,-1.2820,low_gamma
L5_L23,1,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,8.54,9.77,3,-10.440,0.0450,-1.2640,alpha
L5_L23,2,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,6.71,9.77,6,-22.391,0.0010,-1.3557,multi
L5_L23,3,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,49.44,50.05,2,-10.708,0.0400,-1.3613,multi
L5_L23,4,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,58.59,61.65,6,-21.895,0.0010,-1.4273,high_gamma
L5_L23,5,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,49.44,50.05,2,-10.782,0.0380,-1.3530,multi
L5_L23,6,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,58.59,61.65,6,-22.369,0.0010,-1.3835,high_gamma
L5_L23,7,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,87.28,92.77,10,-35.581,0.0010,-1.1974,high_gamma
L5_L23,8,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,4.27,6.10,4,-23.789,0.0010,-1.9305,theta
L5_L23,9,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,8.54,10.38,4,-16.141,0.0020,-1.3944,alpha
L5_L23,10,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,48.22,49.44,3,-10.596,0.0410,-1.0093,low_gamma
L5_L4AB,1,+1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,9.16,10.38,3,+9.180,0.0500,+0.9542,alpha
L5_L6,1,+1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,8.54,10.38,4,+16.665,0.0070,+1.1049,alpha
L5_L6,2,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,10.99,21.36,18,-133.647,0.0010,-2.3214,multi
L5_L6,3,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,22.58,23.19,2,-10.440,0.0370,-1.7459,beta
L5_L6,4,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,28.69,32.35,7,-32.111,0.0020,-1.5225,multi
L5_L6,5,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,70.19,81.18,19,-84.030,0.0010,-1.4468,high_gamma
L5_L6,6,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,84.23,85.45,3,-11.304,0.0280,-1.4124,high_gamma
L5_L6,7,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,87.28,89.11,4,-14.619,0.0110,-1.1021,high_gamma
L5_L6,8,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,90.94,92.16,3,-9.724,0.0450,-1.1283,high_gamma
L5_L6,9,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,10.99,26.25,26,-170.163,0.0010,-2.1812,multi
L5_L6,10,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,28.69,32.35,7,-33.380,0.0020,-1.6244,multi
L5_L6,11,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,69.58,81.18,20,-103.166,0.0010,-1.6893,high_gamma
L5_L6,12,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,84.23,85.45,3,-12.584,0.0160,-1.6474,high_gamma
L5_L6,13,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,87.28,89.72,5,-22.068,0.0040,-1.4749,high_gamma
L5_L6,14,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,90.94,94.60,7,-26.235,0.0030,-1.2189,high_gamma
L5_L6,15,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,14.04,15.26,3,-12.224,0.0160,-1.1108,beta
L5_L6,16,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,12.21,15.87,7,-27.959,0.0020,-1.3461,multi
L5_L6,17,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,12.21,15.26,6,-30.630,0.0020,-1.6968,multi
L5_L6,18,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,12.21,16.48,8,-51.650,0.0010,-2.0744,multi
L6_L4AB,1,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,4.27,5.49,3,-15.530,0.0040,-1.4674,theta
L6_L4C,1,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,4.27,5.49,3,-14.065,0.0100,-1.5807,theta
L6_L4C,2,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,4.27,5.49,3,-11.904,0.0210,-1.3192,theta
L6_L4C,3,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,4.88,7.93,6,-30.365,0.0070,-1.4654,theta
L6_L4C,4,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,4.27,7.93,7,-41.180,0.0040,-2.1270,theta
L6_L4C,5,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,3.05,9.16,11,-93.413,0.0030,-2.7238,multi
L6_L4C,6,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,18.31,20.14,4,-19.169,0.0080,-1.3029,beta
L6_L4C,7,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,97.66,98.88,3,-11.163,0.0260,-1.1834,high_gamma
L6_L4C,8,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,4.27,20.14,27,-174.962,0.0010,-2.2868,multi
L6_L4C,9,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,4.27,6.71,5,-24.978,0.0070,-1.5332,theta
L6_L4C,10,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,11.60,15.26,7,-26.984,0.0070,-1.5137,multi
L6_L4C,11,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,4.88,7.32,5,-20.332,0.0080,-1.4374,theta
L6_L4C,12,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,10.38,15.26,9,-37.365,0.0060,-1.4724,multi
L6_L4C,13,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,16.48,17.70,3,-11.595,0.0220,-1.0401,beta
L6_L4C,14,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,18.92,21.36,5,-20.875,0.0080,-1.3385,beta
L6_L4C,15,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,26.25,28.08,4,-16.163,0.0100,-1.3686,beta
L6_L4C,16,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,29.30,30.52,3,-10.346,0.0400,-1.1640,multi
L6_L4C,17,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,32.35,34.18,4,-16.746,0.0090,-1.1915,low_gamma
