lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L4C_L4AB,43,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,37.23,40.28,6,-25.077,0.0060,-1.4607,low_gamma
L4C_L4AB,44,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,3.66,5.49,4,-23.328,0.0070,-2.4577,multi
L4C_L4AB,45,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,9.77,11.60,4,-21.542,0.0070,-1.5746,alpha
L4C_L4AB,46,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,15.26,17.70,5,-22.494,0.0070,-1.6369,beta
L4C_L4AB,47,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,18.92,32.35,23,-106.234,0.0020,-1.6144,multi
L4C_L4AB,48,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,39.06,42.11,6,-27.683,0.0030,-1.5156,low_gamma
L4C_L5,1,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,10.38,11.60,3,-10.288,0.0280,-1.0453,alpha
L4C_L5,2,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,9.77,11.60,4,-15.978,0.0020,-1.4133,alpha
L4C_L6,1,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,10.38,15.26,9,-43.461,0.0010,-1.6544,multi
L4C_L6,2,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,18.92,23.80,9,-33.688,0.0010,-1.1259,beta
L4C_L6,3,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,84.84,86.06,3,-11.080,0.0180,-1.3000,high_gamma
L4C_L6,4,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,10.38,15.26,9,-44.525,0.0010,-1.7581,multi
L4C_L6,5,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,18.92,23.80,9,-33.578,0.0010,-1.1450,beta
L4C_L6,6,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,25.02,26.25,3,-9.623,0.0450,-1.0882,beta
L4C_L6,7,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,84.84,86.06,3,-10.762,0.0220,-1.2525,high_gamma
L4C_L6,8,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,10.38,15.26,9,-44.952,0.0010,-1.5524,multi
L4C_L6,9,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,11.60,12.82,3,-10.236,0.0330,-1.2347,alpha
L4C_L6,10,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,10.99,12.21,3,-11.343,0.0170,-1.3949,alpha
L4C_L6,11,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,10.99,12.21,3,-12.308,0.0080,-1.4535,alpha
L4C_L6,12,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,10.99,12.82,4,-16.111,0.0050,-1.5712,alpha
